Период,"Выработанная энергия, кВт*ч","Температура, °C","Скорость ветра, м/с","Осадки, мм","Облачность, %","Давление, гПа","Точка росы, °C","Инсоляция, МДж/м²"
2019-09,1603563,11.555000000000001,19.17,1.2766666666666668,54.36666666666667,1016.4566666666667,4.963333333333334,733.6943191473828
2019-10,1614841,9.101612903225806,22.29032258064516,0.8064516129032256,73.09677419354838,1018.2387096774194,3.4032258064516125,478.2136259218779
2019-11,983176,-1.6366666666666667,17.356666666666666,0.4066666666666667,69.43333333333334,1031.3433333333332,-6.2233333333333345,268.3094445972006
2019-12,835264,-5.490322580645162,19.06451612903226,1.038709677419355,67.61290322580645,1018.8870967741937,-7.203225806451612,197.00994239712918
2020-01,594449,-4.3677419354838705,21.954838709677425,1.8258064516129033,93.45161290322581,1016.083870967742,-5.300000000000001,242.05583564243102
2020-02,1043100,-5.187931034482757,23.682758620689654,1.520689655172414,84.17241379310344,1015.0137931034485,-6.679310344827586,381.2092638074049
2020-03,1521918,2.7161290322580647,21.03225806451613,1.5129032258064519,62.29032258064516,1021.4870967741937,-2.7774193548387105,669.8207569189848
2020-04,2030225,6.931666666666667,25.493333333333332,0.9700000000000001,57.13333333333333,1010.5533333333334,-2.22,929.4921895390753
2020-05,1824746,15.724193548387099,21.816129032258065,0.9161290322580645,50.58064516129032,1013.1612903225806,4.758064516129032,1186.7518210263743
2020-06,2048020,18.830000000000002,19.720000000000002,1.8800000000000001,49.333333333333336,1014.8266666666666,9.550000000000002,1243.6296639729449
2020-08,2116830,19.543548387096777,21.141935483870963,1.6516129032258062,52.935483870967744,1009.625806451613,10.083870967741936,1027.4113791891689
2020-09,1948499,13.596666666666666,19.226666666666667,1.4233333333333333,45.03333333333333,1019.9733333333335,5.206666666666666,724.3653655948744
2020-10,1481953,7.561290322580645,18.751612903225805,1.032258064516129,53.774193548387096,1026.074193548387,-0.4612903225806451,470.0107710239255
2020-11,728060,-2.453333333333333,16.743333333333336,1.0100000000000002,59.3,1028.4666666666667,-6.3066666666666675,263.837146383292
2020-12,388787,-13.245161290322581,14.603225806451611,0.6612903225806451,62.25806451612903,1037.1129032258066,-15.083870967741936,196.46819603426027
2021-01,694957,-10.22258064516129,24.16774193548387,1.6129032258064515,90.3225806451613,1023.732258064516,-11.941935483870967,242.05583564243102
2021-02,630616,-13.151785714285714,24.967857142857145,2.107142857142857,71.60714285714286,1017.9892857142856,-15.578571428571427,364.4819889639449
2021-03,1371189,-6.051612903225806,23.800000000000004,1.0483870967741933,62.29032258064516,1016.8741935483873,-8.358064516129032,660.2158076816539
2021-04,1260378,7.841666666666667,20.42666666666667,0.77,60.06666666666667,1019.4466666666667,0.8166666666666667,920.8213406465228
2021-05,2046388,20.383870967741935,21.577419354838707,0.2290322580645162,40.25806451612903,1015.5870967741936,6.429032258064517,1181.1042277023
2021-06,1922927,22.875000000000004,16.990000000000002,2.0766666666666667,43.06666666666667,1013.7366666666666,13.360000000000001,1242.881418627042
2021-07,2148250,23.74032258064516,19.04516129032258,0.2354838709677419,38.12903225806452,1010.0000000000001,11.151612903225805,1231.2606894898522
2021-08,1901887,25.651612903225807,16.47741935483871,0.0,32.87096774193548,1015.4870967741934,6.300000000000001,1035.560766652532
2021-09,1323942,12.728333333333332,21.259999999999994,1.2833333333333334,64.13333333333334,1015.01,3.1866666666666665,733.6943191473828
2021-10,1135675,6.811290322580646,17.95483870967742,0.3870967741935484,62.74193548387097,1025.7129032258063,0.5935483870967742,478.2136259218779
2021-11,850167,-1.2233333333333334,24.119999999999997,1.64,86.1,1020.7500000000002,-5.109999999999999,268.3094445972006
2021-12,766778,-7.387096774193549,22.277419354838706,2.467741935483871,86.12903225806451,1020.1645161290322,-9.161290322580644,197.00994239712918
2022-01,598876,-9.598387096774195,23.006451612903223,1.9193548387096775,94.58064516129032,1015.3580645161289,-11.16774193548387,242.05583564243102
2022-02,1012270,-4.483928571428572,23.475,1.2964285714285713,91.10714285714286,1018.1142857142856,-5.55357142857143,364.4819889639449
2022-03,1163489,-5.604838709677419,23.038709677419355,1.6225806451612905,65.7741935483871,1018.6322580645161,-7.603225806451613,660.2158076816539
2022-04,1672259,9.03,19.850000000000005,1.8133333333333332,73.36666666666666,1014.6066666666668,4.12,920.8213406465228
2022-05,1788244,10.546774193548387,21.654838709677417,2.829032258064516,60.12903225806452,1011.4516129032257,3.361290322580645,1181.1042277023
2022-06,1939444,18.949999999999996,19.663333333333334,1.216666666666667,53.0,1010.6366666666667,10.396666666666668,1242.881418627042
2022-07,1906601,22.46451612903226,17.374193548387098,1.22258064516129,52.903225806451616,1011.5548387096776,12.412903225806453,1231.2606894898522
2022-08,2021067,23.622580645161296,16.40967741935484,0.035483870967741936,28.032258064516128,1020.325806451613,9.212903225806452,1035.560766652532
2022-09,1436802,14.966666666666667,20.06,2.0033333333333334,79.03333333333333,1014.0799999999999,7.193333333333334,733.6943191473828
2022-10,1210222,7.374193548387097,19.851612903225806,2.0806451612903225,77.0,1020.0064516129032,2.2161290322580642,478.2136259218779
2022-11,752280,-1.1066666666666667,19.853333333333335,2.6600000000000006,89.56666666666666,1019.3933333333333,-3.9499999999999997,268.3094445972006
2022-12,687732,-8.648387096774194,18.719354838709677,0.5870967741935483,63.41935483870968,1032.3838709677418,-11.532258064516126,197.00994239712918
2023-01,1024903,-12.891935483870968,18.24838709677419,0.9258064516129033,49.225806451612904,1031.7870967741935,-15.748387096774193,242.05583564243102
2023-02,747204,-7.769642857142856,21.196428571428573,1.3142857142857145,91.92857142857143,1018.2892857142857,-9.571428571428573,364.4819889639449
2023-03,1259374,2.7129032258064516,24.074193548387097,0.8645161290322582,63.806451612903224,1015.1903225806451,-1.6193548387096774,660.2158076816539
2023-04,1437479,10.13,17.163333333333334,0.5833333333333334,53.96666666666667,1018.5633333333334,-0.10000000000000014,920.8213406465228
2023-05,1771263,17.35322580645161,22.374193548387105,1.2838709677419355,67.48387096774194,1018.2741935483871,4.332258064516129,1181.1042277023
2023-06,2022702,18.516666666666666,20.530000000000005,1.5699999999999998,59.766666666666666,1012.0899999999999,8.146666666666667,1242.881418627042
